รหัสหน่วยงาน,ชื่อหน่วยงาน,ตัวย่อหน่วย,ตัวย่อสังกัด
050430,สำนักงานผู้ช่วยทูตฝ่ายทหารเรือ ประจำสถานเอกอัครราชทูตไทย ณ กรุงบันดาร์เสรีเบกาวัน,Null,Null
0505,กรมยุทธการทหารเรือ,ยก.ทร.,ยก.ทร.
05051,กองกลาง,กกล.,ยก.ทร.
05052,สำนักนโยบายและแผน,สนผ.,ยก.ทร.
050521,กองนโยบายและยุทธศาสตร์,กนย.,ยก.ทร.
050522,กองแผนและพัฒนากำลังรบ,กผพ.,ยก.ทร.
050523,กองการจัด,กกจ.,ยก.ทร.
05053,สำนักปฏิบัติการ,สปก.,ยก.ทร.
050531,กองยุทธการ,กยก.,ยก.ทร.
050532,กองควบคุมปฏิบัติการ,กคป.,ยก.ทร.
050533,กองการฝึก,กกฝ.,ยก.ทร.
05054,สำนักกิจการความมั่นคง,สกค.,ยก.ทร.
050541,กองกิจการความมั่นคงทางทะเล,กมท.,สกค.ยก.ทร.
050542,กองกิจการความมั่นคงภายใน,กมภ.,สกค.ยก.ทร.
050543,กองปฏิบัติการรักษาผลประโยชน์ของชาติทางทะเล,กปร.,สกค.ยก.ทร.
0506,กรมส่งกำลังบำรุงทหารเรือ,กบ.ทร.,กบ.ทร.
05061,กองกลาง,กกล.,กบ.ทร.
05062,สำนักนโยบายและแผน,สนผ.,กบ.ทร.
050621,กองนโยบาย,กนบ.,สนผ.กบ.ทร.
050622,กองแผนและโครงการ,กผค.,สนผ.กบ.ทร.
050623,กองวิเคราะห์และประเมินผล,กวป.,สนผ.กบ.ทร.
050624,กองวิทยาการ,กวก.,สนผ.กบ.ทร.
05063,สำนักส่งกำลังบำรุง,สกบ.,กบ.ทร.
050631,กองการส่งกำลังและบริการ,กลบ.,สกบ.กบ.ทร.
050632,กองการซ่อมบำรุง,กกซ.,สกบ.กบ.ทร.
050633,กองการฐานทัพ,กฐท.,สกบ.กบ.ทร.
050634,กองอสังหาริมทรัพย์,กอท.,สกบ.กบ.ทร.
0507,กรมการสื่อสารและเทคโนโลยีสารสนเทศทหารเรือ,สสท.ทร.,สสท.ทร.
05071,กองกลาง,กกล.,สสท.ทร.
05072,แผนกการเงิน,กง.,สสท.ทร.
05073,สำนักนโยบายและแผน,สนผ.,สสท.ทร.
050731,กองนโยบายและแผน,กนผ.,สนผ.สสท.ทร.
050732,กองอำนวยการสื่อสารและเทคโนโลยีสารสนเทศ,กอส.,สนผ.สสท.ทร.
050733,กองส่งกำลังบำรุง,กกบ.,สนผ.สสท.ทร.
050734,กองวิทยาการ,กวก.,สนผ.สสท.ทร.
05074,สำนักปฏิบัติการ,สปก.,สสท.ทร.
050741,กองโทรคมนาคม,กทค.,สปก.สสท.ทร.
050742,กองการสื่อสาร,กสส.,สปก.สสท.ทร.
050743,กองสงครามอิเล็กทรอนิกส์,กสอ.,สปก.สสท.ทร.
050744,กองระบบควบคุมบังคับบัญชา,กคบ.,สปก.สสท.ทร.
050745,กองวิทยุกระจายเสียงและวิทยุโทรทัศน์,กวท.,สปก.สสท.ทร.
050746,กองซ่อมบำรุง,กชร.,สปก.สสท.ทร.
05075,ศูนย์ไซเบอร์,ศซบ.,สสท.ทร.
050751,กองรักษาความมั่นคงปลอดภัยไซเบอร์,กรช.,ศซบ.สสท.ทร.
050752,กองปฏิบัติการไซเบอร์,กปช.,ศซบ.สสท.ทร.
050753,กองสนับสนุนไซเบอร์,กส.,ศชบ.สสท.ทร.
0508,กรมกิจการพลเรือนทหารเรือ,กพร.ทร.,Null
05081,กองกลาง,กกล.,กพร.ทร.
05082,สำนักกิจการพลเรือน,สกร.,กพร.ทร.
050821,กองนโยบายและแผน,กนผ.,สกร.กพร.ทร.
050822,กองกิจการพลเรือน,กกพร.,สกร.กพร.ทร.
050823,กองบรรเทาสาธารณภัย,กบภ.,สกร.กพร.ทร.
05083,สำนักจิตวิทยา,สจว.,กพร.ทร.
050831,กองปฏิบัติการจิตวิทยา,กปจ.,สจว.กพร.ทร.
050832,กองประชาสัมพันธ์,กปส.,สจว.กพร.ทร.
050833,กองวิทยาการ,กวก.,สจว.กพร.ทร.
0509,สำนักงานปลัดบัญชีทหารเรือ,สปช.ทร.,Null
05091,กองกลาง,กกล.,สปช.ทร.
05092,กองสารสนเทศจัดการทรัพยากร,กสทจ.,สปช.ทร.
05093,สำนักงบประมาณ,สงป.,สปช.ทร.
050931,กองแผนและจัดทำงบประมาณ,กผท.,สงป.สปช.ทร.
050932,กองบริหารงบประมาณ,กงป.,สงป.สปช.ทร.
050933,กองตรวจสอบและประเมินผล,กตป.,สงป.สปช.ทร.
050934,กองบัญชี,กบข.,สงป.สปช.ทร.
05094,สำนักพัฒนาระบบราชการ,สพร.,สปช.ทร.
050941,กองพัฒนาระบบราชการ,กพก.,สพร.สปช.ทร.
050942,กองพัฒนาองค์กร,กพอ.,สพร.สปช.ทร.
050943,กองพัฒนาระบบบริหารงาน,กพบ.,สพร.สปช.ทร.
0510,กรมการเงินทหารเรือ,กง.ทร.,Null
05101,กองธุรการ,กธก.,กง.ทร.
05102,กองควบคุมงบประมาณ,กคง.,กง.ทร.
05103,กองเงินเดือน,กงด.,กง.ทร.
05104,กองค่าใช้จ่ายทั่วไป,กชจ.,กง.ทร.
05105,กองการเงินต่างประเทศ,กงต.,กง.ทร.
05106,กองบัญชีและการเงิน,กบง.,กง.ทร.
05107,กองวิทยาการ,กวก.,กง.ทร.
0511,กรมจเรทหารเรือ,จร.ทร.,Null
05111,แผนกธุรการ,จร.ทร.,Null
05112,กองแผนและโครงการ,กผค.,จร.ทร.
05113,กองตรวจทั่วไป,กทป.,จร.ทร.
05114,กองตรวจทางเทคนิค,กตค.,จร.ทร.
0512,สำนักงานตรวจสอบภายในทหารเรือ,สตน.ทร.,Null
05121,แผนกธุรการ,สตน.ทร.,Null
05122,กองวิชาการและระบบงาน,กกร.,สตน.ทร.
05123,กองตรวจสอบภายในที่ 1,กตน.1,สตน.ทร.
05124,กองตรวจสอบภายในที่ 2,กตน.2,สตน.ทร.
05125,กองตรวจสอบภายในที่ 3,กตน.3,สตน.ทร.
05126,กองตรวจสอบภายในที่ 4,กตน.4,สตน.ทร.
0513,สำนักงานจัดหายุทโธปกรณ์ทหารเรือ,สยป.ทร.,Null
05131,แผนกธุรการ,สยป.ทร.,Null
05132,กองเทคโนโลยีทางทหาร,กทท.,สยป.ทร.
05133,กองโครงการ,กคก.,สยป.ทร.
05134,กองบริหารสัญญา,กบส.,สยป.ทร.
0514,สำนักงานพระธรรมนูญทหารเรือ,สธน.ทร.,Null
05141,แผนกธุรการ,สธน.ทร.,Null
05142,กองคดี,กคด.,สธน.ทร.
05143,กองนิติธรรม,กนธ.,สธน.ทร.
05144,กองกฤษฎีกา,กฎก.,สธน.ทร.
0515,กองเรือยุทธการ,กร.,Null
05151,กองบัญชาการ,บก.,กร.
05152,กองเรือตรวจอ่าว,กตอ.,กร.
051521,กองบัญชาการ,บก.,กตอ.กร.
051522,กองร้อยกองบัญชาการ,ร้อย บก.,กตอ.กร.
051523,หมวดเรือที่ 1,มว.เรือที่ 1,กตอ.กร.
0515231,ร.ล.ปัตตานี,มว.เรือที่ 1,กตอ.กร.
0515232,ร.ล.นราธิวาส,มว.เรือที่ 1,กตอ.กร.
